/home/orchids/Documents/BTP_Vaishnavi_Joshitha/NewTrial/data/raw/train
001370193.wav	85056
100700328.wav	99360
100780110.wav	251184
000530225.wav	108800
100990094.wav	116640
000850279.wav	89664
000630160.wav	73280
102200456.wav	110400
002040495.wav	59680
002200425.wav	105920
000410435.wav	88368
102230114.wav	126400
100090260.wav	90400
000240066.wav	66400
100100238.wav	188960
100040486.wav	113920
100330216.wav	157600
001820475.wav	98080
001910142.wav	87040
001910325.wav	99360
101010040.wav	89440
101990329.wav	188160
100710172.wav	134240
001820059.wav	92800
002220399.wav	115840
000100212.wav	82400
002190100.wav	144064
102090143.wav	75520
101050135.wav	120320
102090388.wav	94720
002030168.wav	100480
000710450.wav	84960
101950042.wav	166880
100990250.wav	130240
100050228.wav	184800
001900483.wav	76176
100190239.wav	93664
102270495.wav	71584
101890299.wav	106240
100710373.wav	108480
001990314.wav	128464
000740309.wav	58544
100010408.wav	90560
000070153.wav	139360
000100031.wav	147280
001840072.wav	98880
000610237.wav	70400
101850454.wav	118720
002230368.wav	52640
100050320.wav	168480
102210410.wav	64000
100450392.wav	111200
100450037.wav	96640
101910229.wav	96960
000390168.wav	91680
001880234.wav	144640
100750116.wav	155680
102000334.wav	135520
102240142.wav	64960
100120018.wav	59040
002040106.wav	119040
000770356.wav	182208
002100324.wav	93120
002190379.wav	93376
000400332.wav	56160
000730017.wav	101920
100250251.wav	193120
100770325.wav	132480
001310399.wav	151040
001960201.wav	104160
102040441.wav	91040
100280255.wav	118720
100030368.wav	89600
001370267.wav	134400
000580114.wav	100320
100180378.wav	61920
000390424.wav	96000
102260299.wav	47840
000850476.wav	127680
102200443.wav	92160
100180369.wav	70400
000840029.wav	105920
100220364.wav	119040
000920404.wav	102880
000320331.wav	126080
101910392.wav	89280
102250398.wav	98880
102270438.wav	80832
000350487.wav	66560
100350176.wav	95680
102030118.wav	95040
000220461.wav	76640
000280358.wav	91840
002080327.wav	190240
001020185.wav	185920
102060130.wav	203360
000660452.wav	91520
000680316.wav	94720
000070327.wav	143520
100910220.wav	84800
000430043.wav	64320
102130430.wav	167840
000470390.wav	83680
100500048.wav	67520
000060423.wav	157760
001020111.wav	91840
102150442.wav	96480
000070264.wav	78560
101920493.wav	177120
000740499.wav	124960
001020077.wav	138832
001880240.wav	151360
000190487.wav	60320
100220132.wav	125920
101840023.wav	93440
000440470.wav	60320
000010236.wav	156480
000110344.wav	110560
100120412.wav	62720
101370279.wav	164544
100680114.wav	121280
001400177.wav	97856
101890359.wav	68480
000040381.wav	66240
